process_step,total,汽车制造业,文教、工美、体育和娱乐用品制造业,电气机械和器材制造业,专用设备制造业,非金属矿物制品业,食品制造业,通用设备制造业,铁路、船舶、航空航天和其他运输设备制造业,医药制造业,纺织业,有色金属冶炼和压延加工业,皮革、毛皮、羽毛及其制品和制鞋业,化学纤维制造业,农副食品加工业,酒、饮料和精制茶制造业
铺展,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
裁剪下料,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
整烫定型,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鞣制,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
涂饰整理,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
成品检验,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
注塑成型,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
硫化定型,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
缝制组装,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
编织成型,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
脱模取件,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加工制造,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烘干,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分切,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
涂布,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
筛选,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
折页配页,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
装订,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
装配组装,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
焊接组装,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
炼焦,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
煤气净化,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
储运,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
发酵/热解,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中间储存,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分装,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
制粒混合,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
称量配料,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
冻干封口,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
配料混合,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
牵伸定型,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
干法纺丝,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
修边,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切割,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
硫化,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熔化,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
石墨化,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
出铁作业,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
连铸作业,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精轧,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出合金作业,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冷却破碎,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精炼,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
萃取分离,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
表面处理,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
仓储堆存,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
运输提升,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安全监控,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钻井作业,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井巷开拓,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蒸发浓缩,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
勘探定位,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
洗选分级,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井下运输,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冷藏存储,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
冷库仓储,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
分拣,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
预处理,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
陈酿储存,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
内部检测,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加工处理,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精加工,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
试压检漏,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
洁净装配,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
焊接,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
测试,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电池包装配,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
总装集成,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
分段焊接,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
内饰安装,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
维护检修,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
整车装配,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
定期巡检,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
老化测试,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SMT贴片,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
元器件组装,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
